ssh://seonbinara@acsys11.yonsei.ac.kr:22/usr/bin/python3 -u /tmp/pycharm_project_299/default_learnings/fuit_360_resnet_test.py
LEARNING STARTS! (model: normalCNN)
total data is  67692
STEP [ 40 / 67 ] LOSS:  0.02360243909060955
STEP [ 50 / 67 ] LOSS:  0.0195287074893713
STEP [ 60 / 67 ] LOSS:  0.01839272305369377
[EPOCH:    6] COST = 0.0223463792
EPOCH 6  ACCURACY: 0.9442877291960508
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.007062586490064859
STEP [ 10 / 67 ] LOSS:  0.021395176649093628
STEP [ 20 / 67 ] LOSS:  0.011722616851329803
STEP [ 30 / 67 ] LOSS:  0.020997576415538788
STEP [ 40 / 67 ] LOSS:  0.013806604780256748
STEP [ 50 / 67 ] LOSS:  0.013194801285862923
STEP [ 60 / 67 ] LOSS:  0.014653803780674934
[EPOCH:    7] COST = 0.0184353925
EPOCH 7  ACCURACY: 0.9443758815232722
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.01629672944545746
STEP [ 10 / 67 ] LOSS:  0.019339175894856453
STEP [ 20 / 67 ] LOSS:  0.008438470773398876
STEP [ 30 / 67 ] LOSS:  0.011142165400087833
STEP [ 40 / 67 ] LOSS:  0.028103407472372055
STEP [ 50 / 67 ] LOSS:  0.01879929006099701
STEP [ 60 / 67 ] LOSS:  0.026387924328446388
[EPOCH:    8] COST = 0.0193987899
EPOCH 8  ACCURACY: 0.9427891396332864
STEP [ 0 / 67 ] LOSS:  0.01737861894071102
STEP [ 10 / 67 ] LOSS:  0.01785731501877308
STEP [ 20 / 67 ] LOSS:  0.02522619627416134
STEP [ 30 / 67 ] LOSS:  0.012982223182916641
STEP [ 40 / 67 ] LOSS:  0.019441531971096992
STEP [ 50 / 67 ] LOSS:  0.014476425014436245
STEP [ 60 / 67 ] LOSS:  0.02082587219774723
[EPOCH:    9] COST = 0.0187893696
EPOCH 9  ACCURACY: 0.9426569111424542
STEP [ 0 / 67 ] LOSS:  0.03551334887742996
STEP [ 10 / 67 ] LOSS:  0.016230933368206024
STEP [ 20 / 67 ] LOSS:  0.00908682495355606
STEP [ 30 / 67 ] LOSS:  0.02315492182970047
STEP [ 40 / 67 ] LOSS:  0.013382771983742714
STEP [ 50 / 67 ] LOSS:  0.021782632917165756
STEP [ 60 / 67 ] LOSS:  0.027389448136091232
[EPOCH:   10] COST = 0.0181729905
EPOCH 10  ACCURACY: 0.9410701692524682
STEP [ 0 / 67 ] LOSS:  0.017826436087489128
STEP [ 10 / 67 ] LOSS:  0.012813898734748363
STEP [ 20 / 67 ] LOSS:  0.013631641864776611
STEP [ 30 / 67 ] LOSS:  0.010197559371590614
STEP [ 40 / 67 ] LOSS:  0.009896614588797092
STEP [ 50 / 67 ] LOSS:  0.017309367656707764
STEP [ 60 / 67 ] LOSS:  0.011933336965739727
[EPOCH:   11] COST = 0.0155698247
EPOCH 11  ACCURACY: 0.9468000705218618
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.020760972052812576
STEP [ 10 / 67 ] LOSS:  0.029980942606925964
STEP [ 20 / 67 ] LOSS:  0.030508900061249733
STEP [ 30 / 67 ] LOSS:  0.015315582975745201
STEP [ 40 / 67 ] LOSS:  0.012841789051890373
STEP [ 50 / 67 ] LOSS:  0.012517883442342281
STEP [ 60 / 67 ] LOSS:  0.010792705230414867
[EPOCH:   12] COST = 0.015845919
EPOCH 12  ACCURACY: 0.9458744710860366
STEP [ 0 / 67 ] LOSS:  0.0107318926602602
STEP [ 10 / 67 ] LOSS:  0.010539540089666843
STEP [ 20 / 67 ] LOSS:  0.015466024167835712
STEP [ 30 / 67 ] LOSS:  0.03742751479148865
STEP [ 40 / 67 ] LOSS:  0.008835080079734325
STEP [ 50 / 67 ] LOSS:  0.012634952552616596
STEP [ 60 / 67 ] LOSS:  0.012762559577822685
[EPOCH:   13] COST = 0.0148140443
EPOCH 13  ACCURACY: 0.9471526798307476
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.013219442218542099
STEP [ 10 / 67 ] LOSS:  0.01335089560598135
STEP [ 20 / 67 ] LOSS:  0.011369829997420311
STEP [ 30 / 67 ] LOSS:  0.016618236899375916
STEP [ 40 / 67 ] LOSS:  0.015671035274863243
STEP [ 50 / 67 ] LOSS:  0.010049720294773579
STEP [ 60 / 67 ] LOSS:  0.008053697645664215
[EPOCH:   14] COST = 0.0151192462
EPOCH 14  ACCURACY: 0.946138928067701
STEP [ 0 / 67 ] LOSS:  0.008094756864011288
STEP [ 10 / 67 ] LOSS:  0.013813850469887257
STEP [ 20 / 67 ] LOSS:  0.019574422389268875
STEP [ 30 / 67 ] LOSS:  0.009948221035301685
STEP [ 40 / 67 ] LOSS:  0.019192207604646683
STEP [ 50 / 67 ] LOSS:  0.026255782693624496
STEP [ 60 / 67 ] LOSS:  0.02058550715446472
[EPOCH:   15] COST = 0.0163827818
EPOCH 15  ACCURACY: 0.9451251763046544
STEP [ 0 / 67 ] LOSS:  0.009525448083877563
STEP [ 10 / 67 ] LOSS:  0.014092487283051014
STEP [ 20 / 67 ] LOSS:  0.010089075192809105
STEP [ 30 / 67 ] LOSS:  0.013273293152451515
STEP [ 40 / 67 ] LOSS:  0.013843955472111702
STEP [ 50 / 67 ] LOSS:  0.016060153022408485
STEP [ 60 / 67 ] LOSS:  0.016376633197069168
[EPOCH:   16] COST = 0.015042033
EPOCH 16  ACCURACY: 0.9484308885754584
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.02599235437810421
STEP [ 10 / 67 ] LOSS:  0.0183725543320179
STEP [ 20 / 67 ] LOSS:  0.014598007313907146
STEP [ 30 / 67 ] LOSS:  0.0168469101190567
STEP [ 40 / 67 ] LOSS:  0.007097790017724037
STEP [ 50 / 67 ] LOSS:  0.01238220650702715
STEP [ 60 / 67 ] LOSS:  0.011168182827532291
[EPOCH:   17] COST = 0.0144400401
EPOCH 17  ACCURACY: 0.9470645275035261
STEP [ 0 / 67 ] LOSS:  0.01462568249553442
STEP [ 10 / 67 ] LOSS:  0.026217404752969742
STEP [ 20 / 67 ] LOSS:  0.013864626176655293
STEP [ 30 / 67 ] LOSS:  0.018344901502132416
STEP [ 40 / 67 ] LOSS:  0.010256527923047543
STEP [ 50 / 67 ] LOSS:  0.013791458681225777
STEP [ 60 / 67 ] LOSS:  0.013124004937708378
[EPOCH:   18] COST = 0.0140928086
EPOCH 18  ACCURACY: 0.9429654442877292
STEP [ 0 / 67 ] LOSS:  0.018410276621580124
STEP [ 10 / 67 ] LOSS:  0.017201825976371765
STEP [ 20 / 67 ] LOSS:  0.010663770139217377
STEP [ 30 / 67 ] LOSS:  0.029840152710676193
STEP [ 40 / 67 ] LOSS:  0.01023272704333067
STEP [ 50 / 67 ] LOSS:  0.0187853891402483
STEP [ 60 / 67 ] LOSS:  0.017713060602545738
[EPOCH:   19] COST = 0.0145511618
EPOCH 19  ACCURACY: 0.9470204513399154
STEP [ 0 / 67 ] LOSS:  0.019246842712163925
STEP [ 10 / 67 ] LOSS:  0.013590467162430286
STEP [ 20 / 67 ] LOSS:  0.010876720771193504
STEP [ 30 / 67 ] LOSS:  0.017007343471050262
STEP [ 40 / 67 ] LOSS:  0.01023983396589756
STEP [ 50 / 67 ] LOSS:  0.015449143946170807
STEP [ 60 / 67 ] LOSS:  0.009318799711763859
[EPOCH:   20] COST = 0.0140995057
EPOCH 20  ACCURACY: 0.9485190409026798
IMPROVEMENT WAS THERE. SAVE CKPT...
LEARNING FINISHED! (model: normalCNN)
FINAL ACCURACY:  0.9485190409026798

Process finished with exit code 0
